Round,Total Quantity,Price,Firm 1 Quantity,Firm 2 Quantity,Firm 3 Quantity,Firm 4 Quantity,Firm 5 Quantity,Firm 1 Profit,Firm 2 Profit,Firm 3 Profit,Firm 4 Profit,Firm 5 Profit
1.0,21.2183077067963,44.69616957648921,42.66767168945728,7.21154665396354,48.29658292638609,164.09027855309242,171.81944289381516,3433.534732263322,7232.7092603549745,6904.458862364187,1166.9684619471368,7815.326142822742
2.0,5.195998260521382,41.1998506382182,4.665749057410427,12.760025489949122,3.9158285292541026,67.73745197535324,364.52509604929355,1842.1117823833051,14606.381004730856,1654.1251327203324,4523.749262415647,1388.2594854463746
3.0,43.029571281404976,36.785475273304094,41.311386267314134,41.20326982017548,48.993312812854214,211.3230154550529,77.35396908989418,2898.2124140391493,2477.6477645151904,2782.485833709355,2775.203761870669,3299.894076808499
4.0,5.1325453604966365,11.28497783025574,18.631432051452173,41.05907778506077,40.03951197608352,116.14754500334884,267.7049099933023,1322.682140163327,2908.194196022467,4801.41151986581,10581.125945007083,10318.378829972353
5.0,26.424064880639758,44.752856743126415,16.158342455338875,6.4429069960923595,28.486434360134574,122.26460543533199,255.47078912933603,6486.336058255415,10985.51906052737,3966.401073534087,1581.5454646177113,6992.587521863266
6.0,10.866853543008363,5.180148448708975,6.5149105182627345,32.709211211576424,16.694612654613316,71.96573637616982,356.06852724766037,3760.676001444924,1792.6863445689676,2254.6054882054764,11319.628551422913,5777.480014352184
7.0,6.296414289746647,10.304108627152065,47.67829070696204,33.2446865648442,43.807304804157,141.33080499286194,217.33839001427611,1305.4884016989515,2136.437293285922,9885.540033814132,6892.899788884032,9082.936048958576
8.0,3.1221552995660065,25.83975940296491,33.73832676397368,23.491988565225462,24.878316430274594,111.07054646200464,277.8589070759907,836.2971062632629,6921.409712784734,9037.111333570638,6292.538382122963,6663.878648904016
9.0,31.49833202232803,29.50254628240728,3.1275726487808444,45.060723371777165,26.173803296064598,135.3629776213579,229.27404475728417,6906.766665643753,6469.1426539824215,685.7955049704286,9880.647073418666,5739.235715409621
10.0,38.35036575081227,24.154649234492734,35.78990820830121,46.480081038583116,32.08441345347155,176.85941768566087,146.28116462867825,5226.432508456471,3291.8237288738815,4877.490372580781,6334.359575973453,4372.501231867135
11.0,8.26869651772354,9.671319260325252,25.451044532130513,27.14287530470583,27.228720378817837,97.76265599370298,304.474688012594,2434.9218273274623,2847.95872185447,7494.68839819377,7992.889737117991,8018.168938534544
12.0,35.67270759891109,16.62272288425275,12.46553792009085,41.28982029199321,49.625536385941864,155.67632508118976,188.64734983762048,6372.8346740778115,2969.6053903569205,2226.935313724594,7376.316970436192,8865.470559618921
13.0,11.19415935757469,8.841919503408743,42.271757948501325,48.18350617814842,22.450271775269226,132.9416147629024,234.11677047419522,2508.7988433931314,1981.6224438967674,9473.809873685008,10798.731794770056,5031.482406541316
14.0,33.149722662313046,21.90281639075014,34.3295813702362,9.053389361270868,42.91074527479233,141.3462550593626,217.30748988127482,6872.185795384528,4540.617887296855,7116.779342538641,1876.8354234029016,8895.718891851973
15.0,38.74605351383668,24.48246848141907,16.381991992675065,15.427323331359467,33.38082873372599,128.41866605301627,243.16266789396747,9034.133207648592,5708.39766775764,3819.6689584297305,3597.0758664026234,7783.1630840671605
16.0,28.676800655264483,45.332768814585656,27.577173631325792,6.178493306604572,25.59748737716056,133.36272378494107,233.27455243011786,6402.799831431888,10121.653667494616,6157.281099821915,1379.5003277246149,5715.267537471116
17.0,22.896147146000764,24.102011054608777,15.112584121362021,21.905961125796345,4.596284090910047,88.61298753867794,322.7740249226441,7161.32009807577,7538.48300628005,4726.82376262044,6851.6156311142995,1437.5982748018516
18.0,14.389082947197872,33.51937741595574,28.453813877160542,48.34873853521029,37.19292182302581,161.90393459855025,176.1921308028995,2391.3523552944794,5570.656755944271,4728.799957714422,8035.179878798855,6181.170928554321
19.0,25.073299925015583,1.1530259929699085,47.432622442786716,15.69757511542588,49.09987009656155,138.45639357275962,223.08721285448075,5342.799598086032,245.69509519072795,10107.285314712315,3344.9525299199545,10462.554470393365
20.0,32.184924291780675,8.119152220985898,49.326716764761514,10.127125403851723,15.794301727507497,115.55222040888731,268.8955591822254,8332.533971758148,2102.012454337751,12770.467919436183,2621.867794338712,4089.074577635842
21.0,12.365462114223659,44.253539296888825,48.77654211803704,35.92400453600723,30.44848035337465,171.7680284185314,156.4639431629372,1811.0943402811072,6481.547864338333,7144.0046924607905,5261.571358546861,4459.604495874474
22.0,21.15916487104235,39.973715010554464,41.74725952340041,20.18274294958333,26.75512886513521,149.81801121971577,200.36397756056846,4027.942786711474,7609.555387281748,7947.174375127824,3842.067225965202,5093.212750912716
23.0,1.153380519380911,2.406745351838852,7.229902580627298,5.035129585066437,49.655867253869786,65.48102529078328,369.0379494184334,414.10737657769,864.1129158965675,2595.809397043465,1807.8026012783407,17828.340755423345
24.0,47.653438943321845,15.452389313102497,28.47590097161846,4.1837387723505595,23.370147979855968,119.13561598024934,261.72876803950135,11995.741478048005,3889.810925054048,7168.2034704003545,1053.167406962902,5882.938559869985
25.0,48.36817007493998,12.707777178573464,23.25376215427922,3.9154918545428123,3.7173832736054337,91.9625845359409,316.0748309281182,14804.279477989723,3889.5307514040724,7117.391319813686,1198.4335073796155,1137.797456963798
26.0,48.913181313609044,38.6241154510677,44.1515740076492,46.20398504784126,3.2769143030269867,181.16977012319418,137.66045975361163,6244.279214507096,4930.7723360598775,5636.410236662106,5898.421973656413,418.33238649761097
27.0,34.322862464755964,34.20888453371635,29.085246604962677,14.483327139774993,17.753654973040312,129.8539757162503,240.29204856749942,7904.282309709184,7878.034098478586,6698.101023747762,3335.395077092045,4088.525573302027
28.0,15.617954995578254,30.781134900751127,5.3764242067384425,30.06465298721796,34.81827879235217,116.65844588263795,266.6831082347241,4008.8652325350627,7900.997381317145,1380.0372765740342,7717.088576757489,8937.26402380413
29.0,28.096892519328247,12.02383624311226,38.00754024634975,19.05697977934281,36.84116744919646,134.02641623732953,231.94716752534094,6236.025710928845,2668.6563969473027,8435.665902282726,4229.642683612834,8176.792763675945
30.0,22.568958160660777,7.455593784254303,40.64271500799169,38.03868469201618,16.203929579377945,124.90988122430089,250.18023755139822,5420.617732315072,1790.6862861889265,9761.576945353221,9136.14032547118,3891.8636556411234
31.0,47.65701353650296,22.649803656543313,19.33353584199052,44.615987564940596,18.890734119978795,153.14707471995618,193.70585056008764,8754.872206876886,4160.901445744273,3551.683646186809,8196.217944195705,3470.338379215173
32.0,33.66447383233424,9.176704815252283,7.843359057063168,17.61591312199903,31.51338187180406,99.81383269845277,300.3723346030945,9775.231859879676,2664.661201168264,2277.4944805297578,5115.173819400145,9150.614265354581
33.0,7.221668377886966,13.837076593947069,25.852509237706382,33.22608762676215,11.119284379446661,91.25662621574924,317.4867475685015,2220.5673215347597,4254.717677729023,7949.3039819869755,10216.581618779126,3419.032589125298
34.0,27.341390254639187,47.973654994232874,21.41933368495559,32.273483646614295,42.18973153457569,171.19759411501764,157.60481176996473,4035.720762065165,7081.142315340971,3161.5967168059346,4763.721478819538,6227.40738178639
35.0,2.187219267582691,47.7743735187743,2.2992954286116087,14.37045327432135,38.85830359913443,105.48964508842438,289.02070982315126,610.2794725797954,13330.039610564765,641.5510425843379,4009.6540730815714,10842.271452754001
36.0,23.285510612161815,29.91824904702801,40.28700982775472,38.74570192797705,40.44713640691097,172.68360782183257,154.63278435633487,3367.8482349959468,4327.159662737923,5826.822404779193,5603.898751683933,5849.981957772015
37.0,21.34091599892487,4.232513678063162,21.477090648685415,33.85349559399951,21.45610710854316,102.36012302821612,295.27975394356775,6088.131265103635,1207.450460640644,6126.979135680675,9657.716893185836,6120.992956512028
38.0,21.102225344744895,32.02017065580671,14.378523440962082,16.267375733792704,24.889850396412424,108.65814557171882,282.68370885656236,5754.233072131989,8731.378892645438,3920.789099762562,4435.848348453837,6787.056718978719
39.0,21.149184200886747,10.472963249461182,4.99910946868162,44.26141074249606,32.043767842283046,112.92643550380865,274.1471289923827,5586.496287195294,2766.4031743879063,1320.5004136708858,11691.52457278294,8464.269277637506
40.0,37.73622041262845,26.893856677059738,14.269617258588733,17.319139916959486,11.295619722561641,107.51445398779805,284.9710920244039,10376.369735734046,7395.033139238923,3923.732240364425,4762.262815889794,3105.9688902051685
41.0,28.831251030761067,22.276205608856042,19.63551514953807,11.890367329988218,34.76998948491802,117.40332860406141,265.19334279187717,7357.54332741167,5684.739374043136,5010.852748451166,3034.3425859630206,8873.069845494649
